"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"664",664,85,"RL",0.9,100.12,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","SFoyer",4,5,1972,1972,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Av","BLQ",9.2,"Rec",1.8,0.38,11.38,"GasA","TA","Y","SBrkr",1181,0,0,11.81,1,0,2,0,3,1,"TA",6,"Typ",0,"None","Detchd",1974,"RFn",2,5.88,"TA","TA","Y",0,0,1.8,0,0,0,"None","MnPrv","None",0,4,2008,"WD","Normal",137500
"668",668,20,"RL",0.65,81.25,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",6,5,1994,1998,"Gable","CompShg","HdBoard","HdBoard","BrkFace",258,"TA","TA","PConc","Gd","TA","No","GLQ",11.38,"Unf",0,2.7,14.08,"GasA","Ex","Y","SBrkr",1679,0,0,16.79,1,0,2,0,3,1,"Gd",7,"Typ",1,"Fa","Attchd",1994,"RFn",2,5.75,"TA","TA","Y",2.24,0.42,0,0,0,0,"None","None","None",0,10,2008,"WD","Normal",193500
"669",669,20,"RL",0.69,141.75,"Pave","None","Reg","Bnk","AllPub","Corner","Mod","Sawyer","Norm","Norm","1Fam","1Story",5,6,1956,1987,"Gable","CompShg","CemntBd","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",9.88,"Unf",0,2,11.88,"GasA","Gd","Y","SBrkr",1437,0,0,14.37,1,0,1,1,3,1,"TA",6,"Min2",1,"TA","Detchd",1999,"Unf",2,5.76,"TA","TA","Y",3.04,0,0,0,0,0,"None","None","None",0,11,2006,"WD","Normal",168000
"670",670,30,"RL",0.8,116,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1Story",4,5,1922,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","Fa","TA","No","Unf",0,"Unf",0,7,7,"GasA","Ex","Y","SBrkr",1180,0,0,11.8,0,0,1,0,2,1,"Fa",5,"Typ",1,"Gd","Detchd",1922,"Unf",1,2.52,"TA","Fa","Y",0,0,0.67,0,0,0,"None","None","None",0,7,2006,"WD","Normal",137500
"671",671,60,"RL",0.64,86.33,"Pave","None","Reg","Lvl","AllPub","FR2","Gtl","CollgCr","Norm","Norm","1Fam","2Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",1.93,"Unf",0,5.45,7.38,"GasA","Ex","Y","SBrkr",738,738,0,14.76,1,0,2,1,3,1,"Gd",7,"Typ",0,"None","Attchd",2005,"Fin",2,5.4,"TA","TA","Y",1,0.35,0,0,0,0,"None","None","None",0,2,2009,"WD","Normal",173500
"672",672,70,"RH",0.54,66.29,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Artery","Norm","1Fam","2Story",6,6,1925,1950,"Gambrel","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Gd","BrkTil","TA","TA","No","BLQ",5.51,"Unf",0,1.21,6.72,"GasA","TA","N","SBrkr",697,672,0,13.69,1,0,2,0,3,1,"TA",6,"Typ",0,"None","Detchd",1930,"Unf",1,3,"TA","TA","Y",1.47,0,0,0,0,0,"None","None","None",0,7,2009,"WD","Normal",103600
"673",673,20,"RL",0.69,112.5,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Veenker","Norm","Norm","1Fam","1Story",6,6,1977,1977,"Gable","CompShg","Plywood","Plywood","None",0,"Gd","TA","CBlock","Gd","TA","No","ALQ",7.67,"Unf",0,4.41,12.08,"GasA","TA","Y","SBrkr",1208,0,0,12.08,1,0,1,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1977,"RFn",2,5.46,"TA","TA","Y",1.98,0.42,0,0,0,0,"None","None","None",0,6,2006,"WD","Normal",165000
"676",676,160,"RL",0.24,22.89,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","Twnhs","2Story",6,6,1978,1978,"Gable","CompShg","Plywood","Brk Cmn","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",3.11,"Unf",0,5.44,8.55,"GasA","TA","Y","SBrkr",855,586,0,14.41,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",1978,"Unf",2,4.4,"TA","TA","Y",0.28,0,0,0,0,0,"None","None","None",0,4,2009,"WD","Normal",148500
"680",680,20,"RL",0.69,99.45,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1961,1961,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",57,"TA","TA","CBlock","TA","TA","No","Rec",8.27,"Unf",0,1.61,9.88,"GasA","TA","Y","SBrkr",988,0,0,9.88,1,0,1,0,3,1,"TA",5,"Typ",0,"None","Detchd",1963,"Unf",2,5.72,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,10,2007,"WD","Normal",128500
"681",681,120,"RL",0.5,80.12,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1980,1980,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","BLQ",5.43,"BLQ",1.19,2.61,9.23,"GasA","TA","Y","SBrkr",923,0,0,9.23,0,0,2,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1980,"RFn",1,2.64,"TA","TA","Y",0.8,0,0,0,0,0,"None","None","None",0,5,2010,"WD","Normal",143000
"682",682,50,"RH",0.55,45,"Pave","Pave","IR2","Bnk","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin",5,5,1932,2000,"Gable","CompShg","VinylSd","Stucco","None",0,"TA","TA","BrkTil","TA","TA","No","Rec",1.82,"Unf",0,6.11,7.93,"GasA","Ex","Y","SBrkr",848,672,0,15.2,0,0,1,0,3,1,"TA",6,"Typ",0,"None","Detchd",1968,"Unf",1,2.81,"TA","TA","Y",0,0,0.56,0,0,0,"None","None","None",0,7,2009,"WD","Abnorml",159434
"683",683,120,"RL",0.69,28.87,"Pave","None","Reg","HLS","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","1Story",6,5,1996,1997,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","Gd","TA","Mn","GLQ",10.03,"Unf",0,2.88,12.91,"GasA","Ex","Y","SBrkr",1291,0,0,12.91,1,0,1,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",1996,"Unf",2,4.31,"TA","TA","Y",3.07,0,0,0,0,0,"None","None","None",0,11,2008,"WD","Normal",173000
"686",686,160,"RL",0.69,50.62,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","StoneBr","Norm","Norm","TwnhsE","2Story",7,5,1984,1984,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","CBlock","Gd","TA","Mn","GLQ",8.28,"LwQ",1.82,1.8,11.9,"GasA","Gd","Y","SBrkr",1190,900,0,20.9,1,0,2,0,3,1,"Gd",6,"Min1",1,"TA","Attchd",1984,"Fin",2,5.77,"TA","TA","Y",2.19,0,0,0,0,0,"None","None","None",0,9,2007,"WD","Normal",207500
"688",688,160,"FV",0.69,51.05,"Pave","None","IR2","Lvl","AllPub","FR2","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2004,2004,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",2.39,"Unf",0,3.12,5.51,"GasA","Ex","Y","SBrkr",551,551,0,11.02,0,0,2,1,2,1,"Gd",4,"Typ",0,"None","Detchd",2004,"Unf",2,4.8,"TA","TA","Y",0,0.6,0,0,0,0,"None","None","None",0,3,2007,"WD","Normal",148800
"690",690,120,"RL",0.61,75.77,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",6,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",256,"Gd","TA","PConc","Gd","TA","Av","ALQ",0.2,"Unf",0,13.42,13.62,"GasA","Ex","Y","SBrkr",1362,0,0,13.62,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"RFn",2,4.6,"TA","TA","Y",1.92,0.28,0,0,0,0,"None","None","None",0,6,2007,"WD","Normal",194700
"694",694,30,"RL",0.6,54,"Pave","None","Reg","Lvl","AllPub","Corner","Sev","OldTown","Norm","Norm","1Fam","1Story",5,6,1921,1968,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,10.73,10.73,"GasA","Ex","Y","SBrkr",1073,0,0,10.73,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd",1968,"Unf",1,3.26,"TA","TA","Y",0,0,1.12,0,0,0,"None","None","None",0,12,2006,"WD","Abnorml",108480
"695",695,50,"RM",0.51,61.2,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,6,1936,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",0,9.27,9.27,"GasA","TA","Y","SBrkr",1067,472,0,15.39,0,0,1,1,3,1,"TA",5,"Typ",0,"None","Detchd",1995,"Unf",2,5.76,"TA","TA","Y",1.12,0,0,0,0,0,"None","MnPrv","None",0,4,2009,"WD","Normal",141500
"696",696,20,"RL",0.54,138.11,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",6,6,1987,1987,"Gable","CompShg","HdBoard","HdBoard","BrkFace",72,"TA","TA","CBlock","Gd","Gd","No","GLQ",9.8,"LwQ",0.4,0.92,11.12,"GasA","Gd","Y","SBrkr",1137,0,0,11.37,1,0,2,0,2,1,"Gd",5,"Typ",1,"TA","Attchd",1987,"Unf",2,5.51,"TA","TA","Y",1.25,0,0,0,0,0,"None","None","None",0,7,2006,"WD","Normal",176000
"697",697,30,"RM",0.5,60,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1Story",5,7,1921,1950,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",6.16,"Unf",0,0,6.16,"GasA","Gd","Y","SBrkr",616,0,0,6.16,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd",1921,"Unf",1,2.05,"TA","TA","Y",0,0,1.29,0,0,0,"None","None","None",0,6,2006,"WD","Normal",89000
"698",698,20,"RL",0.57,64.2,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,7,1952,1952,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","Ex","Gd","Mn","LwQ",2.1,"ALQ",5.51,2.19,9.8,"GasA","Fa","Y","FuseA",1148,0,0,11.48,0,1,1,0,2,1,"TA",6,"Typ",0,"None","Detchd",1952,"Unf",1,3.08,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,9,2006,"WD","Normal",123500
"700",700,120,"FV",0.59,42.82,"Pave","Pave","IR2","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",7,5,2004,2004,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","Mn","GLQ",0.16,"Unf",0,13.75,13.91,"GasA","Ex","Y","SBrkr",1391,0,0,13.91,0,0,2,0,2,1,"Gd",5,"Typ",0,"None","Attchd",2004,"RFn",2,5.3,"TA","TA","Y",1.56,1.58,0,0,0,0,"None","None","None",0,7,2008,"WD","Normal",196000
"702",702,20,"RL",0.8,96,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",7,5,1969,1969,"Hip","CompShg","HdBoard","HdBoard","BrkFace",168,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,11.64,11.64,"GasA","TA","Y","SBrkr",1164,0,0,11.64,0,0,1,1,3,1,"TA",6,"Typ",0,"None","Attchd",1969,"Unf",2,5.28,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,7,2006,"COD","Normal",140000
"705",705,20,"RL",0.7,84,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",109,"Gd","TA","PConc","Gd","TA","Av","GLQ",7.12,"Unf",0,7.61,14.73,"GasA","Ex","Y","SBrkr",1484,0,0,14.84,1,0,2,0,3,1,"Gd",7,"Typ",0,"None","Attchd",2004,"RFn",2,6.06,"TA","TA","Y",0,0.35,0,144,0,0,"None","None","None",0,5,2010,"WD","Normal",213000
"709",709,60,"RL",0.65,90.18,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2007,2007,"Hip","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,7.28,7.28,"GasA","Ex","Y","SBrkr",728,728,0,14.56,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2007,"Fin",2,4,"TA","TA","Y",1,0.24,0,0,0,0,"None","None","None",0,7,2007,"New","Partial",179540
"710",710,20,"RL",0.69,71.62,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","HdBoard","HdBoard","BrkCmn",41,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,8.76,8.76,"GasA","TA","Y","SBrkr",904,0,0,9.04,0,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd",1966,"Unf",1,4.08,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,12,2008,"WD","Abnorml",109900
"714",714,190,"RL",0.6,98.73,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","RRAn","Norm","2fmCon","1Story",4,5,1970,1970,"Gable","CompShg","HdBoard","HdBoard","BrkFace",160,"TA","TA","CBlock","TA","TA","Av","ALQ",7.89,"Unf",0,1.71,9.6,"GasW","TA","N","SBrkr",960,0,0,9.6,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Detchd",1970,"Unf",2,5.76,"TA","TA","Y",0,2.88,0,0,0,0,"None","None","None",0,5,2006,"WD","Normal",129000
"715",715,60,"RL",0.69,135.17,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","RRAe","Norm","1Fam","2Story",6,8,1976,2005,"Gable","CompShg","HdBoard","Plywood","BrkFace",289,"Gd","TA","CBlock","TA","TA","No","GLQ",5.33,"Unf",0,1.92,7.25,"GasA","Ex","Y","SBrkr",725,754,0,14.79,0,0,2,1,3,1,"Gd",6,"Typ",0,"None","Attchd",1976,"RFn",2,4.75,"TA","TA","Y",0,0.44,0,0,0,0,"None","None","None",0,3,2010,"WD","Normal",130500
"716",716,20,"RL",0.78,101.4,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,5,1974,1974,"Hip","CompShg","HdBoard","HdBoard","BrkFace",174,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,10.64,10.64,"GasA","TA","Y","SBrkr",1350,0,0,13.5,0,0,2,0,3,1,"TA",7,"Typ",1,"TA","Attchd",1974,"RFn",2,4.78,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","None",0,8,2009,"WD","Normal",165000
"718",718,20,"RL",0.8,100,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",5,6,1973,2000,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","No","BLQ",10.84,"Unf",0,0.92,11.76,"GasA","Gd","Y","SBrkr",1178,0,0,11.78,0,1,1,1,3,1,"Gd",5,"Typ",1,"Fa","Attchd",1973,"Unf",2,4.39,"TA","TA","Y",2.24,0,0,0,0,0,"None","MnPrv","None",0,11,2008,"WD","Normal",157000
"720",720,20,"RL",0.69,99.2,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1969,1969,"Gable","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",5.23,"Unf",0,4.48,9.71,"GasA","TA","Y","SBrkr",971,0,0,9.71,0,0,1,1,3,1,"TA",5,"Typ",1,"Po","Attchd",1969,"Unf",1,3,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,5,2006,"WD","Normal",128500
"723",723,20,"RL",0.7,81.2,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,7,1970,1970,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",1.91,"Unf",0,6.73,8.64,"GasA","Ex","Y","SBrkr",864,0,0,8.64,0,0,1,0,3,1,"TA",5,"Typ",0,"None","Detchd",1994,"Unf",2,4.63,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,7,2009,"WD","Normal",124500
"724",724,50,"RL",0.6,81.72,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",4,6,1954,1972,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,9.41,9.41,"GasA","Ex","Y","SBrkr",997,473,0,14.7,0,0,2,0,4,1,"TA",7,"Typ",0,"None","Detchd",1958,"Unf",1,5.48,"TA","TA","Y",0,0,0,0,1.56,0,"None","None","None",0,5,2008,"WD","Normal",135000
"726",726,20,"RL",0.6,69.6,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,6,1970,1970,"Gable","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",3.75,"BLQ",2.39,2.5,8.64,"GasA","TA","Y","SBrkr",864,0,0,8.64,0,0,1,0,3,1,"Gd",5,"Typ",0,"None","Detchd",1989,"Unf",2,6.6,"TA","TA","Y",0.96,0,0,0,0,0,"None","None","Shed",500,11,2009,"WD","Normal",120500
"728",728,20,"RL",0.64,73.14,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",82,"Gd","TA","PConc","Gd","TA","Av","GLQ",7.24,"Unf",0,5.08,12.32,"GasA","Ex","Y","SBrkr",1232,0,0,12.32,1,0,2,0,2,1,"Gd",6,"Typ",0,"None","Attchd",2007,"RFn",2,6.32,"TA","TA","Y",1.32,0,0,0,0,0,"None","None","None",0,2,2009,"WD","Normal",194500
"730",730,30,"RM",0.52,62.4,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin",4,5,1925,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",1.52,"Unf",0,6.28,7.8,"GasA","TA","Y","FuseA",848,0,3.6,12.08,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd",1962,"Unf",2,5.39,"TA","TA","Y",0,0.23,1.12,0,0,0,"None","None","None",0,1,2009,"WD","Normal",103000
"732",732,80,"RL",0.73,95.9,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","Timber","Norm","Norm","1Fam","SLvl",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",442,"Gd","TA","PConc","Ex","TA","Av","GLQ",7.86,"Unf",0,0.82,8.68,"GasA","Ex","Y","SBrkr",1146,0,0,11.46,1,0,2,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",2003,"Fin",2,4.38,"TA","TA","Y",1.6,0.22,0,0,0,0,"None","None","None",0,5,2007,"WD","Normal",187500
"733",733,60,"RL",0.75,114.04,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,1998,1999,"Gable","CompShg","VinylSd","VinylSd","BrkFace",202,"Gd","TA","PConc","Gd","TA","Av","ALQ",2.52,"Unf",0,9.01,11.53,"GasA","Ex","Y","SBrkr",1153,878,0,20.31,0,0,2,1,3,1,"Gd",8,"Typ",1,"TA","Attchd",1998,"Fin",2,5.41,"TA","TA","Y",1.92,0.84,0,0,0,0,"None","None","None",0,7,2008,"WD","Normal",222500
"734",734,20,"RL",0.8,100,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",5,6,1961,1983,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",5.94,"Unf",0,2.7,8.64,"GasA","Ex","Y","SBrkr",1144,0,0,11.44,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1961,"RFn",1,2.64,"TA","TA","Y",1.65,0,0,0,0,0,"None","GdWo","Shed",400,3,2009,"WD","Normal",131400
"735",735,20,"RL",0.69,89.78,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1968,1968,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,9.48,9.48,"GasA","TA","Y","SBrkr",948,0,0,9.48,0,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd",1968,"Unf",1,3,"TA","TA","Y",1.47,0,0,0,0,0,"None","None","None",0,5,2007,"WD","Family",108000
"740",740,60,"RL",0.65,93.13,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,8.64,8.64,"GasA","Ex","Y","SBrkr",864,864,0,17.28,0,0,2,1,3,1,"Gd",7,"Typ",0,"None","Attchd",2004,"RFn",2,5.72,"TA","TA","Y",1.87,0.56,0,0,0,0,"None","None","None",0,4,2009,"WD","Normal",190000
"741",741,70,"RM",0.6,96,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",5,7,1910,2002,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","Gd","BrkTil","Fa","Fa","No","Unf",0,"Unf",0,2.64,2.64,"GasA","Ex","Y","SBrkr",768,664,0,14.32,0,0,2,0,2,1,"TA",7,"Typ",0,"None","Detchd",1910,"Unf",2,3.6,"TA","Gd","Y",2.7,0,1.12,0,0,0,"None","GdPrv","None",0,5,2007,"WD","Abnorml",132000
"742",742,20,"RL",0.65,67.68,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",6,8,1961,1996,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","Gd","CBlock","TA","TA","Mn","GLQ",8.32,"Unf",0,0.8,9.12,"GasA","Gd","Y","SBrkr",912,0,0,9.12,1,1,1,0,3,1,"Gd",5,"Typ",0,"None","Detchd",1962,"Unf",1,2.88,"TA","TA","Y",1.68,0,0,0,0,0,"None","GdPrv","None",0,5,2008,"WD","Normal",142000
"743",743,20,"RL",0.65,84.5,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,5,2000,2001,"Gable","CompShg","VinylSd","VinylSd","BrkFace",108,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,13.49,13.49,"GasA","Ex","Y","SBrkr",1349,0,0,13.49,0,0,2,0,3,1,"TA",6,"Typ",0,"None","Attchd",2000,"Unf",2,5.39,"TA","TA","Y",1.2,0.55,0,0,0,0,"None","GdPrv","None",0,12,2007,"WD","Normal",179000
"744",744,80,"RL",0.7,128.86,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","SLvl",5,6,1963,1999,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",4.44,"Unf",0,0.76,5.2,"GasA","Ex","Y","SBrkr",1464,0,0,14.64,0,1,2,0,3,1,"TA",6,"Min2",1,"TA","Attchd",1997,"RFn",2,4.8,"TA","TA","Y",3.02,0,0,0,1,0,"None","None","None",0,10,2009,"WD","Normal",175000
"752",752,60,"RL",0.69,77.5,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","RRAn","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,6.6,6.6,"GasA","Ex","Y","SBrkr",660,660,0,13.2,0,0,2,1,3,1,"Gd",6,"Typ",0,"None","Attchd",2003,"Fin",2,4,"TA","TA","Y",0,0.48,0,0,0,0,"None","None","None",0,8,2007,"WD","Normal",162000
"753",753,20,"RL",0.79,92.36,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",6,5,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","PConc","Gd","TA","Gd","GLQ",12,"Unf",0,2.79,14.79,"GasA","Ex","Y","SBrkr",1494,0,0,14.94,1,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd",1997,"RFn",2,5.76,"TA","TA","Y",1.68,0.27,0,0,0,0,"None","None","None",0,7,2006,"WD","Normal",217000
"755",755,20,"RL",0.61,79.3,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,8,1969,2005,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",4.39,"LwQ",4.72,1.15,10.26,"GasA","Gd","Y","SBrkr",1026,0,0,10.26,1,0,1,0,3,1,"Gd",5,"Typ",0,"None","Detchd",1969,"RFn",2,4.4,"TA","TA","Y",1.71,0.48,0,0,0,0,"None","None","None",0,7,2009,"WD","Normal",156000
